EPOCHS,MODEL,CUSTOM EMBEDDING,OPTIM,OUTPUT_SIZE,BATCH_SIZE,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
1,RNN,True,"ADAM,0.001",16,50,50.4594624042511,50.545454025268555,0.6978697180747986,0.6945657134056091
2,RNN,True,"ADAM,0.001",16,50,52.94144153594971,50.39545297622681,0.6912322640419006,0.6943324208259583
3,RNN,True,"ADAM,0.001",16,50,53.60360145568848,54.51818108558655,0.6900586485862732,0.6919043064117432
4,RNN,True,"ADAM,0.001",16,50,53.62161993980408,50.92272758483887,0.6892220377922058,0.6947879195213318
5,RNN,True,"ADAM,0.001",16,50,52.923423051834106,51.004546880722046,0.6898120641708374,0.6934338212013245
6,RNN,True,"ADAM,0.001",16,50,52.698200941085815,50.97727179527283,0.6899139881134033,0.6969539523124695
7,RNN,True,"ADAM,0.001",16,50,53.99549603462219,51.06818079948425,0.6878176927566528,0.7012823224067688
8,RNN,True,"ADAM,0.001",16,50,54.38738465309143,52.372729778289795,0.6860647797584534,0.6933656930923462
9,RNN,True,"ADAM,0.001",16,50,55.450451374053955,51.168179512023926,0.6829935312271118,0.7115718722343445
10,RNN,True,"ADAM,0.001",16,50,54.23423647880554,50.57727098464966,0.6877408623695374,0.7470700144767761
11,RNN,True,"ADAM,0.001",16,50,50.88288187980652,50.5545437335968,0.6939056515693665,0.693436861038208
12,RNN,True,"ADAM,0.001",16,50,51.36036276817322,49.827271699905396,0.6924933195114136,0.6940315961837769
13,RNN,True,"ADAM,0.001",16,50,52.698200941085815,50.26363730430603,0.6908498406410217,0.6945198178291321
14,RNN,True,"ADAM,0.001",16,50,52.405405044555664,50.54090619087219,0.6902379393577576,0.6965545415878296
15,RNN,True,"ADAM,0.001",16,50,53.162163496017456,51.154547929763794,0.6889106631278992,0.6957324743270874
1,RNN,True,"ADAM,0.001",16,100,50.75225234031677,51.34545564651489,0.698153018951416,0.6928658485412598
2,RNN,True,"ADAM,0.001",16,100,53.581082820892334,53.53636145591736,0.6891374588012695,0.6912247538566589
3,RNN,True,"ADAM,0.001",16,100,54.2072057723999,50.05909204483032,0.6878390908241272,0.694863498210907
4,RNN,True,"ADAM,0.001",16,100,54.067569971084595,53.18182110786438,0.6874278783798218,0.6909611225128174
5,RNN,True,"ADAM,0.001",16,100,54.41892147064209,50.90454816818237,0.6868882775306702,0.6942727565765381
6,RNN,True,"ADAM,0.001",16,100,54.315316677093506,53.186362981796265,0.6871310472488403,0.6913575530052185
7,RNN,True,"ADAM,0.001",16,100,55.25675415992737,55.581820011138916,0.6838138103485107,0.684980571269989
8,RNN,True,"ADAM,0.001",16,100,57.72522687911987,55.02727031707764,0.6774392127990723,0.6901389956474304
9,RNN,True,"ADAM,0.001",16,100,56.4774751663208,56.78636431694031,0.6806033849716187,0.6848610639572144
10,RNN,True,"ADAM,0.001",16,100,54.87837791442871,50.73181986808777,0.6853466033935547,0.6955790519714355
11,RNN,True,"ADAM,0.001",16,100,54.07207012176514,49.69545602798462,0.6883088946342468,0.6977729201316833
12,RNN,True,"ADAM,0.001",16,100,53.64865064620972,50.890910625457764,0.6880611181259155,0.6963087320327759
13,RNN,True,"ADAM,0.001",16,100,54.48648929595947,51.13636255264282,0.6855621337890625,0.696823239326477
14,RNN,True,"ADAM,0.001",16,100,55.13513684272766,51.47727131843567,0.6834518313407898,0.6981410384178162
15,RNN,True,"ADAM,0.001",16,100,55.82882761955261,52.58181691169739,0.6811952590942383,0.6957343220710754
1,RNN,True,"ADAM,0.001",32,50,50.65315365791321,51.05000138282776,0.7000588774681091,0.6928512454032898
2,RNN,True,"ADAM,0.001",32,50,53.2747745513916,51.568180322647095,0.6901586055755615,0.6940604448318481
3,RNN,True,"ADAM,0.001",32,50,52.927929162979126,51.34090781211853,0.6900303959846497,0.6931750774383545
4,RNN,True,"ADAM,0.001",32,50,54.5945942401886,50.81818103790283,0.6869950890541077,0.6935989856719971
5,RNN,True,"ADAM,0.001",32,50,53.6981999874115,55.51363825798035,0.6886805891990662,0.6858826875686646
6,RNN,True,"ADAM,0.001",32,50,55.37837743759155,55.64091205596924,0.6844589114189148,0.6876490712165833
7,RNN,True,"ADAM,0.001",32,50,56.10360503196716,52.83636450767517,0.6828976273536682,0.6994103193283081
8,RNN,True,"ADAM,0.001",32,50,54.518020153045654,52.85909175872803,0.6858506798744202,0.6956782341003418
9,RNN,True,"ADAM,0.001",32,50,54.783785343170166,50.68181753158569,0.6859527230262756,0.6964917778968811
10,RNN,True,"ADAM,0.001",32,50,54.79279160499573,53.70454788208008,0.6854943633079529,0.6941652297973633
11,RNN,True,"ADAM,0.001",32,50,56.4594566822052,52.854543924331665,0.6802486777305603,0.6952646970748901
12,RNN,True,"ADAM,0.001",32,50,57.24324584007263,55.1727294921875,0.6775973439216614,0.6901977062225342
13,RNN,True,"ADAM,0.001",32,50,56.373876333236694,56.686365604400635,0.6793444752693176,0.6860396862030029
14,RNN,True,"ADAM,0.001",32,50,58.13964009284973,53.45454812049866,0.6730988025665283,0.6941868662834167
15,RNN,True,"ADAM,0.001",32,50,58.61711502075195,53.26363444328308,0.671418309211731,0.6951262950897217
1,RNN,True,"ADAM,0.001",32,100,50.24324059486389,51.20454430580139,0.7000913023948669,0.693232536315918
2,RNN,True,"ADAM,0.001",32,100,52.878379821777344,50.213634967803955,0.6913087368011475,0.6935679912567139
3,RNN,True,"ADAM,0.001",32,100,52.27477550506592,50.96818208694458,0.6918392181396484,0.6941064596176147
4,RNN,True,"ADAM,0.001",32,100,52.72071957588196,51.099997758865356,0.6912994384765625,0.695079505443573
5,RNN,True,"ADAM,0.001",32,100,53.50900888442993,52.399998903274536,0.6891449689865112,0.6951705813407898
6,RNN,True,"ADAM,0.001",32,100,54.297298192977905,51.318180561065674,0.687706470489502,0.6957554817199707
7,RNN,True,"ADAM,0.001",32,100,53.554052114486694,50.72273015975952,0.688227117061615,0.6945061683654785
8,RNN,True,"ADAM,0.001",32,100,54.954952001571655,53.06817889213562,0.6847926378250122,0.6945782899856567
9,RNN,True,"ADAM,0.001",32,100,55.62162399291992,54.00909185409546,0.682515025138855,0.6915139555931091
10,RNN,True,"ADAM,0.001",32,100,54.30630445480347,50.63636302947998,0.6857657432556152,0.6968061327934265
11,RNN,True,"ADAM,0.001",32,100,54.30630445480347,53.82727384567261,0.6866343021392822,0.6949619054794312
12,RNN,True,"ADAM,0.001",32,100,53.76576781272888,49.90000128746033,0.6889069676399231,0.6984808444976807
13,RNN,True,"ADAM,0.001",32,100,54.310810565948486,50.6954550743103,0.6860698461532593,0.6995709538459778
14,RNN,True,"ADAM,0.001",32,100,55.47747611999512,51.25908851623535,0.6829294562339783,0.6995468735694885
15,RNN,True,"ADAM,0.001",32,100,55.94594478607178,51.5181839466095,0.6803501844406128,0.699325442314148
1,RNN,True,"ADAM,0.0001",16,50,50.27927756309509,50.3818154335022,0.6961714029312134,0.6944604516029358
2,RNN,True,"ADAM,0.0001",16,50,51.55856013298035,50.49545168876648,0.6926785111427307,0.6942986845970154
3,RNN,True,"ADAM,0.0001",16,50,52.2342324256897,50.80454349517822,0.6913669109344482,0.6944727301597595
4,RNN,True,"ADAM,0.0001",16,50,52.7117133140564,50.6636381149292,0.6907241940498352,0.6960169076919556
5,RNN,True,"ADAM,0.0001",16,50,52.75225043296814,51.06363892555237,0.6900991201400757,0.6942528486251831
6,RNN,True,"ADAM,0.0001",16,50,53.117114305496216,51.195454597473145,0.6893939971923828,0.6947590708732605
7,RNN,True,"ADAM,0.0001",16,50,53.72522473335266,51.54091119766235,0.6886442303657532,0.6948623657226562
8,RNN,True,"ADAM,0.0001",16,50,53.69369387626648,51.459091901779175,0.6878437995910645,0.6942305564880371
9,RNN,True,"ADAM,0.0001",16,50,54.279279708862305,51.763635873794556,0.6867850422859192,0.6942128539085388
10,RNN,True,"ADAM,0.0001",16,50,54.43243384361267,51.918184757232666,0.6862264275550842,0.694111168384552
11,RNN,True,"ADAM,0.0001",16,50,55.05855679512024,52.42272615432739,0.6851487159729004,0.6938204765319824
12,RNN,True,"ADAM,0.0001",16,50,55.198198556900024,52.87272930145264,0.6837497353553772,0.6936764121055603
13,RNN,True,"ADAM,0.0001",16,50,55.59008717536926,53.91818284988403,0.6822293400764465,0.6921929121017456
14,RNN,True,"ADAM,0.0001",16,50,56.09009265899658,54.53181862831116,0.6803852319717407,0.6900110244750977
15,RNN,True,"ADAM,0.0001",16,50,58.15765857696533,60.42272448539734,0.6720759272575378,0.6678432822227478
1,RNN,True,"ADAM,0.0001",16,100,50.84684491157532,50.49545168876648,0.6958163380622864,0.6953076720237732
2,RNN,True,"ADAM,0.0001",16,100,52.49999761581421,50.44545531272888,0.6915297508239746,0.6946484446525574
3,RNN,True,"ADAM,0.0001",16,100,52.81981825828552,50.96363425254822,0.6902632713317871,0.6950051188468933
4,RNN,True,"ADAM,0.0001",16,100,53.599101305007935,51.17727518081665,0.6890100836753845,0.6950761675834656
5,RNN,True,"ADAM,0.0001",16,100,53.70720624923706,51.10454559326172,0.6880794167518616,0.6945064067840576
6,RNN,True,"ADAM,0.0001",16,100,54.79729771614075,51.181817054748535,0.6867892742156982,0.6951802968978882
7,RNN,True,"ADAM,0.0001",16,100,54.66216206550598,51.62727236747742,0.6856437921524048,0.6942782998085022
8,RNN,True,"ADAM,0.0001",16,100,54.945945739746094,52.03636288642883,0.6844598650932312,0.6950455904006958
9,RNN,True,"ADAM,0.0001",16,100,55.80180287361145,52.39545702934265,0.6831534504890442,0.6941875219345093
10,RNN,True,"ADAM,0.0001",16,100,55.82432150840759,52.990907430648804,0.6819794774055481,0.6934970617294312
11,RNN,True,"ADAM,0.0001",16,100,56.05405569076538,53.40454578399658,0.6807434558868408,0.692413866519928
12,RNN,True,"ADAM,0.0001",16,100,56.9729745388031,54.76818084716797,0.6778518557548523,0.6894750595092773
13,RNN,True,"ADAM,0.0001",16,100,59.162163734436035,61.21363639831543,0.6678870320320129,0.6628556847572327
14,RNN,True,"ADAM,0.0001",16,100,62.23423480987549,62.422728538513184,0.651721715927124,0.6520097851753235
15,RNN,True,"ADAM,0.0001",16,100,63.5045051574707,61.72272562980652,0.6445277333259583,0.6546309590339661
1,RNN,True,"ADAM,0.0001",32,50,50.28828978538513,51.236361265182495,0.6963161826133728,0.693406879901886
2,RNN,True,"ADAM,0.0001",32,50,52.666664123535156,51.68636441230774,0.6914037466049194,0.6936284899711609
3,RNN,True,"ADAM,0.0001",32,50,53.73873710632324,51.45454406738281,0.6891680955886841,0.6941418051719666
4,RNN,True,"ADAM,0.0001",32,50,54.5585572719574,51.42727494239807,0.6875180006027222,0.6947559118270874
5,RNN,True,"ADAM,0.0001",32,50,54.977476596832275,52.8181791305542,0.6855214834213257,0.6927787065505981
6,RNN,True,"ADAM,0.0001",32,50,56.27477765083313,54.945456981658936,0.682171106338501,0.6878191232681274
